YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2000,2,24,-117.939,33.831,0.27,0.278,-1.0,1
2000,2,26,-117.939,33.831,-1.0,0.325,-1.0,1
2000,3,2,-117.939,33.831,0.45,0.199,0.222,1
2000,3,10,-117.939,33.831,-1.0,0.091,0.055,1
2000,3,11,-117.939,33.831,-1.0,0.056,0.021,1
2000,3,13,-117.939,33.831,-1.0,0.556,0.161,1
2000,3,14,-117.939,33.831,0.04,0.316,0.303,1
2000,3,17,-117.939,33.831,0.47,0.467,0.006999999999999999,1
2000,3,18,-117.939,33.831,-1.0,0.258,0.303,1
2000,3,21,-117.939,33.831,0.02,0.116,0.07400000000000001,1
2000,3,22,-117.939,33.831,-1.0,0.054000000000000006,0.008,1
2000,3,23,-117.939,33.831,-1.0,0.202,-1.0,1
2000,3,26,-117.939,33.831,-1.0,0.194,0.172,1
2000,3,30,-117.939,33.831,0.05,0.13699999999999998,0.073,1
2000,3,31,-117.939,33.831,-1.0,0.076,0.049,1
2000,4,1,-117.939,33.831,0.03,0.2,0.298,1
2000,4,2,-117.939,33.831,0.18,0.149,0.051,1
2000,4,3,-117.939,33.831,0.5,0.27,0.334,1
2000,4,4,-117.939,33.831,-1.0,0.379,0.193,1
2000,4,5,-117.939,33.831,-1.0,0.14800000000000002,-1.0,1
2000,4,6,-117.939,33.831,-1.0,0.117,-1.0,1
2000,4,8,-117.939,33.831,0.04,0.416,0.35100000000000003,1
2000,4,10,-117.939,33.831,-1.0,0.305,0.18,1
2000,4,11,-117.939,33.831,-1.0,0.252,0.189,1
2000,4,19,-117.939,33.831,0.02,0.042,0.018000000000000002,1
2000,4,20,-117.939,33.831,-1.0,0.277,0.132,1
2000,4,24,-117.939,33.831,0.05,0.388,0.388,1
2000,4,29,-117.939,33.831,0.02,0.095,0.099,1
2000,4,30,-117.939,33.831,0.24,0.199,0.109,1
2000,5,1,-117.939,33.831,0.02,0.027000000000000003,0.004,1
2000,5,2,-117.939,33.831,0.17,0.175,0.06,1
2000,5,3,-117.939,33.831,0.05,0.261,0.439,1
2000,5,4,-117.939,33.831,-1.0,0.345,-1.0,1
2000,5,11,-117.939,33.831,-1.0,0.377,-1.0,1
2000,5,12,-117.939,33.831,0.03,0.025,0.008,1
2000,5,13,-117.939,33.831,0.35,0.256,0.135,1
2000,5,15,-117.939,33.831,0.02,0.036000000000000004,0.02,1
2000,5,17,-117.939,33.831,-1.0,0.07,0.051,1
2000,5,18,-117.939,33.831,-1.0,0.184,-1.0,1
2000,5,20,-117.939,33.831,-1.0,0.314,0.221,1
2000,5,21,-117.939,33.831,-1.0,0.093,0.023,1
2000,5,26,-117.939,33.831,-1.0,0.242,0.304,1
2000,5,27,-117.939,33.831,-1.0,0.126,0.07400000000000001,1
2000,5,28,-117.939,33.831,-1.0,0.237,0.29,1
2000,5,29,-117.939,33.831,-1.0,0.343,0.402,1
2000,5,31,-117.939,33.831,-1.0,0.28800000000000003,0.29600000000000004,1
2000,6,1,-117.939,33.831,-1.0,0.24,0.08199999999999999,1
2000,6,2,-117.939,33.831,-1.0,0.135,0.091,1
2000,6,3,-117.939,33.831,-1.0,0.141,-1.0,1
2000,6,4,-117.939,33.831,-1.0,0.08800000000000001,0.009000000000000001,1
2000,6,5,-117.939,33.831,-1.0,0.115,0.07200000000000001,1
2000,6,6,-117.939,33.831,0.08,0.177,0.251,1
2000,6,7,-117.939,33.831,-1.0,0.168,0.219,1
2000,6,10,-117.939,33.831,0.22,0.215,0.07,1
2000,6,11,-117.939,33.831,0.08,0.386,0.52,1
2000,6,13,-117.939,33.831,-1.0,0.542,0.129,1
2000,6,14,-117.939,33.831,0.48,0.319,0.231,1
2000,6,22,-117.939,33.831,0.77,0.622,0.206,1
2000,6,23,-117.939,33.831,-1.0,0.446,0.304,1
2000,6,24,-117.939,33.831,0.34,0.285,0.078,1
2000,6,28,-117.939,33.831,-1.0,0.068,0.08199999999999999,1
2000,6,29,-117.939,33.831,0.1,0.07400000000000001,0.043,1
2000,6,30,-117.939,33.831,-1.0,0.21,0.16699999999999998,1
2000,7,1,-117.939,33.831,-1.0,0.247,0.29,1
