YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2002,7,4,-117.939,33.831,-1.0,0.608,0.057,2
2002,7,6,-117.939,33.831,0.44,0.223,0.182,2
2002,7,7,-117.939,33.831,-1.0,0.95,-1.0,2
2002,7,8,-117.939,33.831,0.34,0.193,0.219,2
2002,7,9,-117.939,33.831,-1.0,0.6409999999999999,0.022,2
2002,7,12,-117.939,33.831,-1.0,0.4920000000000001,0.044,2
2002,7,13,-117.939,33.831,-1.0,0.328,0.173,2
2002,7,14,-117.939,33.831,-1.0,0.157,-1.0,2
2002,7,15,-117.939,33.831,0.53,0.469,0.09,2
2002,7,16,-117.939,33.831,-1.0,0.391,0.135,2
2002,7,17,-117.939,33.831,-1.0,0.094,0.12,2
2002,7,18,-117.939,33.831,-1.0,0.3,0.248,2
2002,7,21,-117.939,33.831,0.42,0.335,0.16899999999999998,2
2002,7,22,-117.939,33.831,0.33,0.22,0.134,2
2002,7,23,-117.939,33.831,-1.0,0.405,0.17800000000000002,2
2002,7,24,-117.939,33.831,0.21,0.214,0.021,2
2002,7,25,-117.939,33.831,0.72,0.35600000000000004,0.345,2
2002,7,26,-117.939,33.831,0.23,0.224,0.008,2
2002,7,27,-117.939,33.831,0.07,0.214,0.281,2
2002,8,8,-117.939,33.831,-1.0,0.539,-1.0,2
2002,8,9,-117.939,33.831,-1.0,0.327,0.202,2
2002,8,10,-117.939,33.831,0.66,0.62,0.042,2
2002,8,11,-117.939,33.831,0.41,0.414,0.006,2
2002,8,12,-117.939,33.831,0.88,0.68,0.117,2
2002,8,13,-117.939,33.831,-1.0,0.449,0.069,2
2002,8,14,-117.939,33.831,0.5,0.442,0.149,2
2002,8,15,-117.939,33.831,0.75,0.653,0.149,2
2002,8,16,-117.939,33.831,0.87,0.7020000000000001,0.24,2
2002,8,17,-117.939,33.831,-1.0,0.4,0.259,2
2002,8,22,-117.939,33.831,-1.0,0.231,0.12,2
2002,8,23,-117.939,33.831,-1.0,0.244,0.041,2
2002,8,24,-117.939,33.831,-1.0,0.247,0.22,2
2002,8,25,-117.939,33.831,0.26,0.247,0.021,2
2002,8,26,-117.939,33.831,0.06,0.258,0.248,2
2002,8,27,-117.939,33.831,0.32,0.304,0.028,2
2002,8,28,-117.939,33.831,0.69,0.521,0.262,2
2002,8,29,-117.939,33.831,0.3,0.25,0.078,2
2002,8,30,-117.939,33.831,0.07,0.218,0.142,2
2002,9,1,-117.939,33.831,0.25,0.252,0.022,2
2002,9,3,-117.939,33.831,-1.0,0.025,0.016,2
2002,9,4,-117.939,33.831,-1.0,0.491,0.147,2
2002,9,8,-117.939,33.831,-1.0,0.067,-1.0,2
2002,9,9,-117.939,33.831,0.48,0.451,0.034,2
2002,9,10,-117.939,33.831,0.32,0.303,0.032,2
2002,9,11,-117.939,33.831,0.93,0.634,0.2,2
2002,9,14,-117.939,33.831,0.35,0.297,0.078,2
2002,9,15,-117.939,33.831,-1.0,0.256,-1.0,2
2002,9,16,-117.939,33.831,-1.0,0.145,0.057,2
2002,9,17,-117.939,33.831,0.27,0.239,0.03,2
2002,9,18,-117.939,33.831,0.49,0.383,0.171,2
2002,9,19,-117.939,33.831,-1.0,0.041,-1.0,2
2002,9,20,-117.939,33.831,-1.0,0.34700000000000003,0.16,2
2002,9,21,-117.939,33.831,-1.0,0.14400000000000002,-1.0,2
2002,9,22,-117.939,33.831,-1.0,0.196,0.08900000000000001,2
2002,9,23,-117.939,33.831,-1.0,0.123,0.029,2
2002,9,24,-117.939,33.831,0.24,0.185,0.115,2
2002,9,26,-117.939,33.831,-1.0,0.17,0.173,2
2002,9,27,-117.939,33.831,-1.0,0.344,0.175,2
2002,10,2,-117.939,33.831,-1.0,0.338,0.043,2
2002,10,3,-117.939,33.831,-1.0,0.161,0.022,2
2002,10,4,-117.939,33.831,0.42,0.317,0.121,2
2002,10,5,-117.939,33.831,0.25,0.211,0.067,2
2002,10,6,-117.939,33.831,0.17,0.196,0.11,2
2002,10,7,-117.939,33.831,0.09,0.049,0.039,2
2002,10,8,-117.939,33.831,0.24,0.166,0.094,2
2002,10,9,-117.939,33.831,0.32,0.249,0.114,2
2002,10,10,-117.939,33.831,-1.0,0.3720000000000001,0.109,2
2002,10,15,-117.939,33.831,-1.0,0.531,0.414,2
2002,10,20,-117.939,33.831,0.76,0.7190000000000001,0.195,2
2002,10,23,-117.939,33.831,-1.0,0.483,-1.0,2
2002,10,27,-117.939,33.831,-1.0,0.7120000000000001,-1.0,2
2002,10,28,-117.939,33.831,-1.0,0.259,0.136,2
2002,11,2,-117.939,33.831,-1.0,0.518,0.09,2
2002,11,4,-117.939,33.831,-1.0,0.245,0.163,2
2002,11,5,-117.939,33.831,-1.0,0.305,0.112,2
2002,11,10,-117.939,33.831,-1.0,0.071,0.033,2
2002,11,11,-117.939,33.831,-1.0,0.1,0.021,2
2002,11,12,-117.939,33.831,0.17,0.127,0.045,2
2002,11,14,-117.939,33.831,0.39,0.28300000000000003,0.101,2
2002,11,18,-117.939,33.831,0.1,0.08900000000000001,0.021,2
2002,11,19,-117.939,33.831,-1.0,0.111,0.064,2
2002,11,20,-117.939,33.831,-1.0,0.054000000000000006,0.02,2
2002,11,21,-117.939,33.831,-1.0,0.13,0.071,2
2002,11,24,-117.939,33.831,-1.0,0.284,-1.0,2
2002,11,25,-117.939,33.831,0.15,0.113,0.059,2
2002,11,26,-117.939,33.831,0.07,0.07200000000000001,-1.0,2
2002,12,2,-117.939,33.831,-1.0,0.21,0.096,2
2002,12,4,-117.939,33.831,-1.0,0.233,0.065,2
