YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2000,2,24,-118.528,34.383,-1.0,0.12,-1.0,1
2000,2,29,-118.528,34.383,-1.0,0.134,0.066,1
2000,3,2,-118.528,34.383,-1.0,0.066,0.019,1
2000,3,10,-118.528,34.383,-1.0,0.026,0.024,1
2000,3,11,-118.528,34.383,-1.0,0.043,0.026,1
2000,3,12,-118.528,34.383,-1.0,0.135,0.076,1
2000,3,14,-118.528,34.383,0.06,0.045,0.015,1
2000,3,17,-118.528,34.383,0.07,0.1,0.063,1
2000,3,18,-118.528,34.383,-1.0,0.055,0.033,1
2000,3,20,-118.528,34.383,0.13,0.095,0.054000000000000006,1
2000,3,21,-118.528,34.383,-1.0,0.045,0.017,1
2000,3,22,-118.528,34.383,0.0,0.017,0.02,1
2000,3,23,-118.528,34.383,0.19,0.139,0.068,1
2000,3,25,-118.528,34.383,-1.0,0.124,0.078,1
2000,3,26,-118.528,34.383,-1.0,0.059,0.036000000000000004,1
2000,3,28,-118.528,34.383,-1.0,0.193,-1.0,1
2000,3,30,-118.528,34.383,-1.0,0.079,0.04,1
2000,3,31,-118.528,34.383,-1.0,0.038,0.011,1
2000,4,1,-118.528,34.383,-1.0,0.038,0.016,1
2000,4,2,-118.528,34.383,-1.0,0.054000000000000006,0.026,1
2000,4,3,-118.528,34.383,-1.0,0.084,0.022,1
2000,4,4,-118.528,34.383,0.09,0.037000000000000005,0.032,1
2000,4,5,-118.528,34.383,-1.0,0.08900000000000001,0.025,1
2000,4,6,-118.528,34.383,-1.0,0.279,0.23,1
2000,4,8,-118.528,34.383,-1.0,0.075,0.016,1
2000,4,10,-118.528,34.383,-1.0,0.065,0.043,1
2000,4,11,-118.528,34.383,0.08,0.07200000000000001,0.039,1
2000,4,19,-118.528,34.383,-1.0,0.057,0.024,1
2000,4,20,-118.528,34.383,-1.0,0.06,0.029,1
2000,4,23,-118.528,34.383,-1.0,0.11,-1.0,1
2000,4,24,-118.528,34.383,0.04,0.273,0.388,1
2000,4,29,-118.528,34.383,-0.01,0.042,0.025,1
2000,4,30,-118.528,34.383,0.0,0.028,0.023,1
2000,5,1,-118.528,34.383,-1.0,0.155,0.226,1
2000,5,2,-118.528,34.383,0.02,0.033,0.01,1
2000,5,3,-118.528,34.383,-1.0,0.067,0.057,1
2000,5,4,-118.528,34.383,0.15,0.162,0.029,1
2000,5,6,-118.528,34.383,-1.0,0.185,0.067,1
2000,5,7,-118.528,34.383,-1.0,0.153,0.014,1
2000,5,9,-118.528,34.383,-1.0,0.029,0.017,1
2000,5,11,-118.528,34.383,0.07,0.08800000000000001,0.033,1
2000,5,12,-118.528,34.383,-1.0,0.067,0.037000000000000005,1
2000,5,13,-118.528,34.383,-1.0,0.043,0.049,1
2000,5,17,-118.528,34.383,-1.0,0.091,0.03,1
2000,5,18,-118.528,34.383,-1.0,0.138,-1.0,1
2000,5,19,-118.528,34.383,-1.0,0.221,0.041,1
