YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2000,2,26,77.05,28.590999999999998,-1.0,0.304,0.016
2000,2,27,77.05,28.590999999999998,0.17,0.23,0.087
2000,2,28,77.05,28.590999999999998,0.4,0.387,0.031
2000,3,2,77.05,28.590999999999998,0.67,0.608,0.096
2000,3,3,77.05,28.590999999999998,-1.0,0.45799999999999996,0.122
2000,3,4,77.05,28.590999999999998,1.3,1.339,0.052000000000000005
2000,3,5,77.05,28.590999999999998,0.74,0.722,0.23199999999999998
2000,3,6,77.05,28.590999999999998,0.32,0.326,0.013000000000000001
2000,3,7,77.05,28.590999999999998,0.41,0.486,0.105
2000,3,8,77.05,28.590999999999998,0.43,0.455,0.071
2000,3,10,77.05,28.590999999999998,-1.0,0.303,0.07200000000000001
2000,3,11,77.05,28.590999999999998,-1.0,0.653,0.013999999999999999
2000,3,12,77.05,28.590999999999998,0.7,0.68,0.172
2000,3,13,77.05,28.590999999999998,-1.0,0.628,0.006999999999999999
2000,3,14,77.05,28.590999999999998,0.39,0.37799999999999995,0.15
2000,3,15,77.05,28.590999999999998,0.3,0.293,0.01
2000,3,16,77.05,28.590999999999998,-1.0,0.439,0.125
2000,3,17,77.05,28.590999999999998,0.4,0.41600000000000004,0.035
2000,3,18,77.05,28.590999999999998,0.43,0.42,0.017
2000,3,19,77.05,28.590999999999998,0.3,0.254,0.079
2000,3,20,77.05,28.590999999999998,-1.0,0.40399999999999997,0.095
2000,3,22,77.05,28.590999999999998,-1.0,0.465,0.044000000000000004
2000,3,23,77.05,28.590999999999998,0.53,0.519,0.07400000000000001
2000,3,24,77.05,28.590999999999998,-1.0,0.517,0.042
2000,3,25,77.05,28.590999999999998,-1.0,0.335,0.095
2000,3,26,77.05,28.590999999999998,-1.0,0.451,0.068
2000,3,27,77.05,28.590999999999998,-1.0,0.42700000000000005,0.062
2000,3,28,77.05,28.590999999999998,-1.0,0.337,0.11800000000000001
2000,3,30,77.05,28.590999999999998,-1.0,0.239,0.077
2000,3,31,77.05,28.590999999999998,-1.0,0.391,0.052000000000000005
2000,4,1,77.05,28.590999999999998,0.31,0.365,0.113
