YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2000,2,24,-117.851,34.144,-1.0,0.191,-1.0,1
2000,2,26,-117.851,34.144,-1.0,0.244,0.114,1
2000,2,29,-117.851,34.144,-1.0,0.095,-1.0,1
2000,3,2,-117.851,34.144,-1.0,0.077,0.04,1
2000,3,10,-117.851,34.144,0.14,0.105,0.047,1
2000,3,11,-117.851,34.144,0.13,0.064,0.059,1
2000,3,13,-117.851,34.144,-1.0,0.233,0.111,1
2000,3,14,-117.851,34.144,0.47,0.14800000000000002,0.184,1
2000,3,17,-117.851,34.144,-1.0,0.159,0.097,1
2000,3,18,-117.851,34.144,-1.0,0.07,0.063,1
2000,3,20,-117.851,34.144,-1.0,0.093,0.014,1
2000,3,21,-117.851,34.144,-1.0,0.07400000000000001,0.035,1
2000,3,22,-117.851,34.144,-1.0,0.061,0.006,1
2000,3,25,-117.851,34.144,-1.0,0.221,0.032,1
2000,3,26,-117.851,34.144,0.24,0.14,0.09,1
2000,3,30,-117.851,34.144,-1.0,0.261,0.213,1
2000,3,31,-117.851,34.144,-1.0,0.085,-1.0,1
2000,4,1,-117.851,34.144,-1.0,0.058,0.008,1
2000,4,2,-117.851,34.144,-1.0,0.13699999999999998,0.08199999999999999,1
2000,4,3,-117.851,34.144,-1.0,0.077,0.05,1
2000,4,4,-117.851,34.144,0.05,0.135,0.084,1
2000,4,5,-117.851,34.144,-1.0,0.149,0.053,1
2000,4,6,-117.851,34.144,-1.0,0.253,0.044,1
2000,4,7,-117.851,34.144,-1.0,0.185,-1.0,1
2000,4,8,-117.851,34.144,0.72,0.267,0.261,1
2000,4,10,-117.851,34.144,-1.0,0.18,0.039,1
2000,4,11,-117.851,34.144,-1.0,0.124,0.071,1
2000,4,19,-117.851,34.144,-1.0,0.14800000000000002,0.001,1
2000,4,20,-117.851,34.144,-1.0,0.122,0.091,1
2000,4,24,-117.851,34.144,-1.0,0.208,0.033,1
2000,4,29,-117.851,34.144,-1.0,0.124,0.055,1
2000,4,30,-117.851,34.144,-1.0,0.079,0.023,1
2000,5,1,-117.851,34.144,-1.0,0.111,0.075,1
2000,5,2,-117.851,34.144,-1.0,0.163,-1.0,1
2000,5,3,-117.851,34.144,-1.0,0.16699999999999998,0.026,1
2000,5,4,-117.851,34.144,-1.0,0.403,0.196,1
2000,5,11,-117.851,34.144,-1.0,0.195,-1.0,1
2000,5,12,-117.851,34.144,-1.0,0.097,0.077,1
2000,5,13,-117.851,34.144,-1.0,0.15,0.059,1
2000,5,15,-117.851,34.144,-1.0,0.117,0.004,1
2000,5,17,-117.851,34.144,-1.0,0.224,0.124,1
2000,5,18,-117.851,34.144,-1.0,0.211,0.057,1
2000,5,20,-117.851,34.144,0.36,0.284,0.081,1
2000,5,21,-117.851,34.144,-1.0,0.147,-1.0,1
2000,5,22,-117.851,34.144,-1.0,0.29,0.242,1
2000,5,27,-117.851,34.144,-1.0,0.212,0.08199999999999999,1
2000,5,28,-117.851,34.144,-1.0,0.106,0.073,1
2000,5,29,-117.851,34.144,0.35,0.209,0.132,1
2000,5,30,-117.851,34.144,-1.0,0.231,-1.0,1
2000,5,31,-117.851,34.144,-1.0,0.17600000000000002,0.069,1
2000,6,1,-117.851,34.144,-1.0,0.412,0.052000000000000005,1
2000,6,2,-117.851,34.144,-1.0,0.151,0.094,1
2000,6,3,-117.851,34.144,-1.0,0.209,0.052000000000000005,1
2000,6,4,-117.851,34.144,-0.04,0.113,0.034,1
2000,6,5,-117.851,34.144,0.01,0.091,0.064,1
2000,6,6,-117.851,34.144,-1.0,0.122,0.093,1
2000,6,7,-117.851,34.144,0.32,0.225,0.135,1
2000,6,9,-117.851,34.144,0.52,0.191,0.201,1
2000,6,10,-117.851,34.144,-1.0,0.272,0.085,1
2000,6,11,-117.851,34.144,-1.0,0.124,0.076,1
2000,6,12,-117.851,34.144,-1.0,0.142,0.015,1
2000,6,13,-117.851,34.144,-1.0,0.08900000000000001,0.056,1
2000,6,14,-117.851,34.144,0.12,0.113,0.019,1
2000,6,17,-117.851,34.144,-1.0,0.43,0.227,1
2000,6,18,-117.851,34.144,-1.0,0.098,0.091,1
2000,6,19,-117.851,34.144,-1.0,0.224,0.07400000000000001,1
2000,6,22,-117.851,34.144,-1.0,0.598,0.187,1
2000,6,23,-117.851,34.144,0.45,0.326,0.201,1
2000,6,24,-117.851,34.144,-1.0,0.119,0.023,1
2000,6,26,-117.851,34.144,0.06,0.067,0.052000000000000005,1
2000,6,28,-117.851,34.144,-1.0,0.205,0.056,1
2000,6,29,-117.851,34.144,-1.0,0.106,0.076,1
2000,6,30,-117.851,34.144,0.05,0.156,0.103,1
2000,7,1,-117.851,34.144,-1.0,0.194,-1.0,1
2000,7,2,-117.851,34.144,0.56,0.251,0.211,1
