YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2002,7,4,-117.851,34.144,-1.0,0.068,0.003,2
2002,7,6,-117.851,34.144,-1.0,0.152,0.085,2
2002,7,7,-117.851,34.144,-1.0,0.133,0.06,2
2002,7,8,-117.851,34.144,-1.0,0.172,0.09,2
2002,7,9,-117.851,34.144,0.59,0.211,0.183,2
2002,7,10,-117.851,34.144,-1.0,0.418,0.141,2
2002,7,12,-117.851,34.144,-1.0,0.34,0.099,2
2002,7,13,-117.851,34.144,0.45,0.295,0.093,2
2002,7,14,-117.851,34.144,-1.0,0.15,0.056,2
2002,7,15,-117.851,34.144,-1.0,0.266,0.087,2
2002,7,16,-117.851,34.144,0.42,0.138,0.141,2
2002,7,17,-117.851,34.144,0.16,0.13699999999999998,0.035,2
2002,7,18,-117.851,34.144,-1.0,0.08900000000000001,0.058,2
2002,7,19,-117.851,34.144,-1.0,0.172,0.079,2
2002,7,20,-117.851,34.144,0.44,0.138,0.17,2
2002,7,21,-117.851,34.144,-1.0,0.219,0.218,2
2002,7,22,-117.851,34.144,0.25,0.106,0.091,2
2002,7,23,-117.851,34.144,0.28,0.187,0.14800000000000002,2
2002,7,24,-117.851,34.144,-1.0,0.14400000000000002,0.069,2
2002,7,25,-117.851,34.144,-1.0,0.119,0.105,2
2002,7,28,-117.851,34.144,-1.0,0.095,-1.0,2
2002,8,9,-117.851,34.144,-1.0,0.243,0.093,2
2002,8,10,-117.851,34.144,0.29,0.195,0.095,2
2002,8,11,-117.851,34.144,-1.0,0.35600000000000004,-1.0,2
2002,8,12,-117.851,34.144,0.24,0.191,0.152,2
2002,8,13,-117.851,34.144,-1.0,0.298,0.04,2
2002,8,14,-117.851,34.144,-1.0,0.317,0.085,2
2002,8,15,-117.851,34.144,-1.0,0.407,0.13699999999999998,2
2002,8,16,-117.851,34.144,-1.0,0.491,0.213,2
2002,8,17,-117.851,34.144,-1.0,0.528,0.28300000000000003,2
2002,8,18,-117.851,34.144,-1.0,0.5479999999999999,0.17,2
2002,8,19,-117.851,34.144,0.83,0.478,0.217,2
2002,8,20,-117.851,34.144,-1.0,0.181,-1.0,2
2002,8,21,-117.851,34.144,-1.0,0.23,0.079,2
2002,8,22,-117.851,34.144,-1.0,0.277,0.066,2
2002,8,23,-117.851,34.144,0.35,0.163,0.14300000000000002,2
2002,8,24,-117.851,34.144,0.11,0.129,0.03,2
2002,8,25,-117.851,34.144,-1.0,0.112,0.039,2
2002,8,26,-117.851,34.144,-1.0,0.232,0.14800000000000002,2
2002,8,27,-117.851,34.144,-1.0,0.321,0.012,2
2002,8,28,-117.851,34.144,0.54,0.207,0.17,2
2002,8,29,-117.851,34.144,-1.0,0.175,0.138,2
2002,8,30,-117.851,34.144,0.33,0.119,0.112,2
2002,9,1,-117.851,34.144,-1.0,0.207,0.081,2
2002,9,2,-117.851,34.144,-1.0,0.14,0.091,2
2002,9,3,-117.851,34.144,0.07,0.098,0.057,2
2002,9,4,-117.851,34.144,-1.0,0.271,0.18600000000000005,2
