YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2002,7,4,-118.227,34.066,-1.0,0.322,0.29100000000000004,2
2002,7,6,-118.227,34.066,-1.0,0.276,0.174,2
2002,7,7,-118.227,34.066,0.13,0.108,0.037000000000000005,2
2002,7,8,-118.227,34.066,0.26,0.14300000000000002,0.117,2
2002,7,9,-118.227,34.066,0.3,0.317,0.24,2
2002,7,12,-118.227,34.066,-1.0,0.255,-1.0,2
2002,7,13,-118.227,34.066,0.21,0.332,0.175,2
2002,7,14,-118.227,34.066,-1.0,0.248,0.271,2
2002,7,15,-118.227,34.066,0.05,0.142,0.115,2
2002,7,16,-118.227,34.066,0.07,0.271,0.333,2
2002,7,17,-118.227,34.066,0.18,0.15,0.098,2
2002,7,18,-118.227,34.066,0.08,0.282,0.285,2
2002,7,19,-118.227,34.066,-1.0,0.252,-1.0,2
2002,7,20,-118.227,34.066,-1.0,0.211,0.199,2
2002,7,21,-118.227,34.066,-1.0,0.224,0.2,2
2002,7,22,-118.227,34.066,-1.0,0.16399999999999998,0.12,2
2002,7,23,-118.227,34.066,0.07,0.153,0.199,2
2002,7,24,-118.227,34.066,-1.0,0.132,0.086,2
2002,7,25,-118.227,34.066,0.04,0.217,0.234,2
2002,7,26,-118.227,34.066,-1.0,0.133,0.114,2
2002,7,28,-118.227,34.066,-1.0,0.094,0.092,2
2002,8,9,-118.227,34.066,-1.0,0.15,0.101,2
2002,8,10,-118.227,34.066,0.05,0.263,0.23,2
2002,8,11,-118.227,34.066,-1.0,0.342,0.138,2
2002,8,12,-118.227,34.066,0.04,0.272,0.175,2
2002,8,13,-118.227,34.066,-1.0,0.171,-1.0,2
2002,8,14,-118.227,34.066,0.48,0.462,0.07400000000000001,2
2002,8,15,-118.227,34.066,0.65,0.455,0.158,2
2002,8,16,-118.227,34.066,0.79,0.58,0.173,2
2002,8,17,-118.227,34.066,-1.0,0.606,0.251,2
2002,8,19,-118.227,34.066,-1.0,0.17800000000000002,-1.0,2
2002,8,22,-118.227,34.066,-1.0,0.28300000000000003,0.128,2
2002,8,23,-118.227,34.066,-1.0,0.09,0.064,2
2002,8,24,-118.227,34.066,-1.0,0.149,0.138,2
2002,8,25,-118.227,34.066,0.23,0.138,0.091,2
2002,8,26,-118.227,34.066,0.02,0.219,0.213,2
2002,8,27,-118.227,34.066,-1.0,0.151,-1.0,2
2002,8,28,-118.227,34.066,0.32,0.217,0.163,2
2002,8,29,-118.227,34.066,-1.0,0.107,-1.0,2
2002,8,30,-118.227,34.066,0.13,0.173,0.112,2
2002,9,1,-118.227,34.066,-1.0,0.174,-1.0,2
2002,9,2,-118.227,34.066,-1.0,0.235,0.13,2
2002,9,3,-118.227,34.066,0.21,0.159,0.048,2
2002,9,8,-118.227,34.066,-1.0,0.127,0.066,2
2002,9,9,-118.227,34.066,-1.0,0.463,0.229,2
2002,9,10,-118.227,34.066,-1.0,0.299,0.075,2
2002,9,11,-118.227,34.066,0.42,0.35700000000000004,0.171,2
2002,9,14,-118.227,34.066,-1.0,0.18,-1.0,2
2002,9,15,-118.227,34.066,-1.0,0.073,0.025,2
2002,9,16,-118.227,34.066,-1.0,0.191,0.109,2
2002,9,17,-118.227,34.066,0.19,0.153,0.058,2
2002,9,18,-118.227,34.066,0.19,0.309,0.125,2
2002,9,19,-118.227,34.066,0.14,0.109,0.042,2
2002,9,20,-118.227,34.066,0.23,0.189,0.141,2
2002,9,21,-118.227,34.066,-1.0,0.079,-1.0,2
2002,9,22,-118.227,34.066,0.14,0.13,0.054000000000000006,2
2002,9,23,-118.227,34.066,0.32,0.237,0.077,2
2002,9,24,-118.227,34.066,-1.0,0.3720000000000001,0.179,2
2002,9,26,-118.227,34.066,-1.0,0.361,0.256,2
2002,9,27,-118.227,34.066,0.16,0.235,0.138,2
2002,9,29,-118.227,34.066,-1.0,0.405,-1.0,2
2002,10,3,-118.227,34.066,0.19,0.134,0.055,2
2002,10,4,-118.227,34.066,-1.0,0.232,0.097,2
2002,10,5,-118.227,34.066,-1.0,0.124,0.063,2
2002,10,6,-118.227,34.066,0.23,0.152,0.075,2
2002,10,8,-118.227,34.066,0.14,0.122,0.07200000000000001,2
2002,10,9,-118.227,34.066,-1.0,0.233,0.07400000000000001,2
2002,10,10,-118.227,34.066,-1.0,0.3720000000000001,-1.0,2
2002,10,15,-118.227,34.066,-1.0,0.446,0.418,2
2002,10,19,-118.227,34.066,-1.0,0.181,0.041,2
2002,10,20,-118.227,34.066,0.33,0.353,0.16,2
2002,10,28,-118.227,34.066,-1.0,0.249,0.14,2
2002,11,2,-118.227,34.066,-1.0,0.305,0.175,2
2002,11,4,-118.227,34.066,-1.0,0.218,0.073,2
2002,11,5,-118.227,34.066,0.11,0.139,0.08800000000000001,2
2002,11,10,-118.227,34.066,0.11,0.109,0.06,2
2002,11,11,-118.227,34.066,-1.0,0.09,0.04,2
2002,11,12,-118.227,34.066,-1.0,0.107,0.042,2
2002,11,13,-118.227,34.066,-1.0,0.11,0.051,2
2002,11,14,-118.227,34.066,-1.0,0.166,0.07,2
2002,11,18,-118.227,34.066,-1.0,0.068,0.029,2
2002,11,19,-118.227,34.066,-1.0,0.07200000000000001,0.021,2
2002,11,20,-118.227,34.066,-1.0,0.032,0.019,2
2002,11,21,-118.227,34.066,0.04,0.048,0.031,2
2002,11,23,-118.227,34.066,-1.0,0.241,0.055,2
2002,11,25,-118.227,34.066,0.08,0.087,0.057,2
2002,12,2,-118.227,34.066,0.14,0.131,0.044,2
2002,12,3,-118.227,34.066,-1.0,0.204,0.085,2
2002,12,4,-118.227,34.066,0.14,0.126,0.067,2
2002,12,6,-118.227,34.066,-1.0,0.146,0.061,2
2002,12,7,-118.227,34.066,-1.0,0.521,-1.0,2
2002,12,9,-118.227,34.066,-1.0,0.194,0.101,2
2002,12,11,-118.227,34.066,0.14,0.129,0.061,2
2002,12,12,-118.227,34.066,0.14,0.14,0.039,2
2002,12,13,-118.227,34.066,-1.0,0.122,0.013,2
2002,12,18,-118.227,34.066,0.05,0.119,0.07200000000000001,2
2002,12,22,-118.227,34.066,-1.0,0.117,0.022,2
2002,12,23,-118.227,34.066,0.1,0.093,0.041,2
2002,12,25,-118.227,34.066,0.32,0.19,0.112,2
2002,12,27,-118.227,34.066,0.06,0.104,0.052000000000000005,2
2002,12,29,-118.227,34.066,-1.0,0.118,-1.0,2
2002,12,30,-118.227,34.066,0.13,0.124,0.056,2
2003,1,1,-118.227,34.066,0.06,0.116,0.086,2
2003,1,2,-118.227,34.066,-1.0,0.053,0.025,2
2003,1,3,-118.227,34.066,-1.0,0.116,0.054000000000000006,2
2003,1,4,-118.227,34.066,-1.0,0.054000000000000006,0.012,2
2003,1,5,-118.227,34.066,0.04,0.107,0.039,2
2003,1,6,-118.227,34.066,-1.0,0.103,0.06,2
2003,1,12,-118.227,34.066,0.18,0.25,0.113,2
2003,1,15,-118.227,34.066,-1.0,0.08,0.032,2
2003,1,16,-118.227,34.066,-1.0,0.054000000000000006,0.022,2
2003,1,17,-118.227,34.066,-1.0,0.097,0.015,2
2003,1,18,-118.227,34.066,0.04,0.063,0.03,2
2003,1,19,-118.227,34.066,0.26,0.202,0.07,2
2003,1,20,-118.227,34.066,-1.0,0.159,0.059,2
2003,1,21,-118.227,34.066,0.51,0.397,0.134,2
