YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2002,7,4,-118.533,34.199,-1.0,0.18,0.198,2
2002,7,6,-118.533,34.199,0.31,0.153,0.11,2
2002,7,7,-118.533,34.199,-1.0,0.215,0.161,2
2002,7,8,-118.533,34.199,-1.0,0.056,0.016,2
2002,7,9,-118.533,34.199,-1.0,0.388,0.208,2
2002,7,10,-118.533,34.199,0.32,0.28600000000000003,0.08800000000000001,2
2002,7,12,-118.533,34.199,-1.0,0.233,0.197,2
2002,7,13,-118.533,34.199,0.55,0.294,0.189,2
2002,7,14,-118.533,34.199,0.22,0.203,0.037000000000000005,2
2002,7,15,-118.533,34.199,-1.0,0.135,0.038,2
2002,7,16,-118.533,34.199,0.49,0.224,0.222,2
2002,7,17,-118.533,34.199,0.18,0.118,0.061,2
2002,7,18,-118.533,34.199,0.42,0.13,0.165,2
2002,7,19,-118.533,34.199,-1.0,0.122,0.076,2
2002,7,20,-118.533,34.199,0.01,0.134,0.152,2
2002,7,21,-118.533,34.199,-1.0,0.119,0.005,2
2002,7,22,-118.533,34.199,-1.0,0.129,0.08,2
2002,7,23,-118.533,34.199,0.36,0.145,0.193,2
2002,7,24,-118.533,34.199,-1.0,0.049,0.045,2
2002,7,25,-118.533,34.199,-1.0,0.174,0.213,2
2002,7,26,-118.533,34.199,0.04,0.042,0.011,2
2002,7,27,-118.533,34.199,-1.0,0.077,-1.0,2
2002,7,28,-118.533,34.199,0.04,0.057,0.019,2
2002,8,8,-118.533,34.199,-1.0,0.096,-1.0,2
2002,8,9,-118.533,34.199,-1.0,0.048,0.045,2
2002,8,10,-118.533,34.199,0.45,0.22,0.145,2
2002,8,11,-118.533,34.199,0.18,0.168,0.023,2
2002,8,12,-118.533,34.199,0.31,0.205,0.112,2
2002,8,13,-118.533,34.199,-1.0,0.14800000000000002,0.041,2
2002,8,14,-118.533,34.199,0.5,0.4270000000000001,0.128,2
2002,8,15,-118.533,34.199,0.61,0.382,0.206,2
2002,8,16,-118.533,34.199,0.68,0.485,0.149,2
2002,8,17,-118.533,34.199,0.72,0.463,0.235,2
2002,8,19,-118.533,34.199,-1.0,0.076,-1.0,2
2002,8,21,-118.533,34.199,-1.0,0.305,0.31,2
2002,8,22,-118.533,34.199,-1.0,0.157,0.059,2
2002,8,23,-118.533,34.199,-1.0,0.11,0.083,2
2002,8,24,-118.533,34.199,0.32,0.204,0.175,2
2002,8,25,-118.533,34.199,0.11,0.057,0.052000000000000005,2
2002,8,26,-118.533,34.199,0.44,0.119,0.161,2
2002,8,27,-118.533,34.199,0.17,0.14,0.03,2
2002,8,28,-118.533,34.199,0.32,0.334,0.218,2
2002,8,29,-118.533,34.199,-1.0,0.102,0.001,2
2002,8,30,-118.533,34.199,0.22,0.153,0.108,2
2002,9,1,-118.533,34.199,0.12,0.092,0.027000000000000003,2
2002,9,2,-118.533,34.199,-1.0,0.219,0.156,2
2002,9,3,-118.533,34.199,-1.0,0.078,0.001,2
2002,9,4,-118.533,34.199,0.53,0.224,0.202,2
2002,9,8,-118.533,34.199,0.09,0.13,0.035,2
2002,9,9,-118.533,34.199,-1.0,0.388,0.173,2
2002,9,10,-118.533,34.199,-1.0,0.173,0.035,2
2002,9,11,-118.533,34.199,0.26,0.18600000000000005,0.076,2
2002,9,15,-118.533,34.199,0.4,0.17800000000000002,0.16399999999999998,2
2002,9,16,-118.533,34.199,-1.0,0.086,0.075,2
2002,9,17,-118.533,34.199,-1.0,0.073,0.028,2
2002,9,18,-118.533,34.199,-1.0,0.215,0.109,2
2002,9,19,-118.533,34.199,0.02,0.022,0.004,2
2002,9,20,-118.533,34.199,0.32,0.138,0.142,2
2002,9,21,-118.533,34.199,-1.0,0.051,0.008,2
2002,9,22,-118.533,34.199,0.17,0.104,0.084,2
2002,9,23,-118.533,34.199,0.23,0.14300000000000002,0.078,2
2002,9,24,-118.533,34.199,-1.0,0.098,-1.0,2
2002,9,25,-118.533,34.199,-1.0,0.154,0.118,2
2002,9,26,-118.533,34.199,-1.0,0.305,0.195,2
2002,9,27,-118.533,34.199,0.5,0.221,0.184,2
2002,9,29,-118.533,34.199,-1.0,0.146,0.046,2
2002,10,2,-118.533,34.199,-1.0,0.189,0.083,2
2002,10,3,-118.533,34.199,-1.0,0.042,0.021,2
2002,10,4,-118.533,34.199,0.29,0.14,0.1,2
2002,10,5,-118.533,34.199,-1.0,0.032,0.026,2
2002,10,6,-118.533,34.199,-1.0,0.076,0.08,2
2002,10,7,-118.533,34.199,0.01,0.022,0.011,2
2002,10,8,-118.533,34.199,0.21,0.156,0.094,2
2002,10,9,-118.533,34.199,-1.0,0.105,0.011,2
