YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2000,2,26,38.725,8.997,-1.0,0.253,0.09300000000000001,1
2000,3,1,38.725,8.997,-1.0,0.477,0.075,1
2000,3,3,38.725,8.997,-1.0,0.476,0.03,1
2000,3,4,38.725,8.997,0.11,0.154,0.065,1
2000,3,5,38.725,8.997,0.16,0.16899999999999998,-1.0,1
2000,3,6,38.725,8.997,0.17,0.183,0.086,1
2000,3,8,38.725,8.997,-1.0,0.361,0.131,1
2000,3,9,38.725,8.997,-1.0,0.18600000000000005,0.023,1
2000,3,11,38.725,8.997,0.13,0.179,0.061,1
2000,3,12,38.725,8.997,-1.0,0.311,-1.0,1
2000,3,13,38.725,8.997,-1.0,0.27,0.021,1
2000,3,14,38.725,8.997,-1.0,0.177,-1.0,1
2000,3,15,38.725,8.997,0.05,0.197,0.134,1
2000,3,20,38.725,8.997,-1.0,0.102,0.086,1
2000,3,22,38.725,8.997,0.16,0.249,0.084,1
2000,3,24,38.725,8.997,0.2,0.45,0.213,1
2000,3,28,38.725,8.997,0.11,0.182,0.098,1
2000,3,29,38.725,8.997,0.12,0.08199999999999999,0.057,1
2000,4,3,38.725,8.997,-1.0,0.255,-1.0,1
2000,4,7,38.725,8.997,-1.0,0.066,0.07200000000000001,1
2000,4,9,38.725,8.997,-1.0,0.16699999999999998,0.16399999999999998,1
2000,4,10,38.725,8.997,-1.0,0.201,-1.0,1
2000,4,11,38.725,8.997,-1.0,0.29100000000000004,-1.0,1
2000,4,13,38.725,8.997,-1.0,0.319,-1.0,1
2000,4,20,38.725,8.997,0.03,0.038,-1.0,1
2000,4,21,38.725,8.997,-1.0,0.068,-1.0,1
2000,4,30,38.725,8.997,-1.0,0.249,-1.0,1
2000,5,11,38.725,8.997,0.1,0.079,0.065,1
2000,5,13,38.725,8.997,-1.0,0.087,0.043,1
2000,5,14,38.725,8.997,-1.0,0.133,0.015,1
2000,5,15,38.725,8.997,-1.0,0.174,0.098,1
2000,5,18,38.725,8.997,-1.0,0.223,0.053,1
2000,5,20,38.725,8.997,-0.02,0.154,0.07200000000000001,1
2000,5,21,38.725,8.997,0.07,0.104,0.045,1
2000,5,22,38.725,8.997,-1.0,0.261,0.066,1
2000,5,23,38.725,8.997,-1.0,0.2,0.025,1
2000,5,27,38.725,8.997,-1.0,0.334,0.05,1
2000,6,1,38.725,8.997,0.24,0.24,0.011,1
2000,6,3,38.725,8.997,0.35,0.191,0.099,1
2000,6,5,38.725,8.997,-1.0,0.26,0.09,1
2000,6,7,38.725,8.997,0.24,0.311,0.075,1
2000,6,10,38.725,8.997,-1.0,0.311,0.116,1
2000,6,12,38.725,8.997,0.17,0.213,0.052000000000000005,1
2000,6,19,38.725,8.997,0.15,0.124,0.05,1
2000,6,21,38.725,8.997,-1.0,0.311,-1.0,1
2000,7,18,38.725,8.997,0.27,0.318,0.039,1
2000,7,30,38.725,8.997,-1.0,0.304,-1.0,1
2000,9,14,38.725,8.997,-1.0,0.237,0.016,1
2000,9,18,38.725,8.997,-1.0,0.404,0.02,1
2000,10,13,38.725,8.997,0.07,0.118,0.055,1
2000,10,14,38.725,8.997,0.19,0.2,0.006,1
2000,10,30,38.725,8.997,-1.0,0.034,0.021,1
2000,10,31,38.725,8.997,-1.0,0.106,0.02,1
2000,11,1,38.725,8.997,0.0,0.092,0.041,1
2000,11,3,38.725,8.997,-1.0,0.253,0.013,1
2000,11,5,38.725,8.997,-1.0,0.204,0.037000000000000005,1
2000,11,6,38.725,8.997,-1.0,0.157,-1.0,1
2000,11,19,38.725,8.997,-1.0,0.05,0.024,1
2000,11,21,38.725,8.997,-1.0,0.104,0.054000000000000006,1
2000,11,24,38.725,8.997,-1.0,0.012,-1.0,1
2000,11,25,38.725,8.997,-1.0,0.117,-1.0,1
2000,11,26,38.725,8.997,-1.0,0.098,0.006,1
2000,11,28,38.725,8.997,-0.03,0.08900000000000001,0.066,1
2000,11,29,38.725,8.997,0.01,0.045,0.029,1
2000,11,30,38.725,8.997,-1.0,0.154,0.021,1
2000,12,2,38.725,8.997,0.03,0.08,0.051,1
2000,12,3,38.725,8.997,0.0,0.053,0.055,1
2000,12,5,38.725,8.997,-1.0,0.106,0.08800000000000001,1
2000,12,6,38.725,8.997,-1.0,0.097,0.013,1
2000,12,7,38.725,8.997,-1.0,0.118,0.066,1
2000,12,14,38.725,8.997,-1.0,0.056,0.07200000000000001,1
2000,12,17,38.725,8.997,-1.0,0.123,-1.0,1
2000,12,18,38.725,8.997,-1.0,0.08900000000000001,-1.0,1
2000,12,19,38.725,8.997,0.06,0.1,0.045,1
2000,12,21,38.725,8.997,-1.0,0.142,-1.0,1
2000,12,23,38.725,8.997,-1.0,0.06,0.036000000000000004,1
2000,12,24,38.725,8.997,-1.0,0.083,0.012,1
2000,12,25,38.725,8.997,-1.0,0.081,0.038,1
2000,12,26,38.725,8.997,0.02,0.055,0.048,1
2000,12,27,38.725,8.997,-1.0,0.078,0.029,1
2000,12,28,38.725,8.997,0.02,0.083,0.066,1
2000,12,30,38.725,8.997,0.11,0.124,0.06,1
2000,12,31,38.725,8.997,-1.0,0.172,0.02,1
2001,1,1,38.725,8.997,-1.0,0.125,0.045,1
2001,1,2,38.725,8.997,0.17,0.157,0.071,1
2001,1,3,38.725,8.997,-1.0,0.125,0.028,1
2001,1,4,38.725,8.997,0.17,0.204,0.042,1
2001,1,6,38.725,8.997,0.49,0.299,0.132,1
2001,1,15,38.725,8.997,0.0,0.14,0.071,1
2001,1,16,38.725,8.997,0.07,0.1,0.02,1
2001,1,19,38.725,8.997,0.04,0.093,0.046,1
2001,1,20,38.725,8.997,0.07,0.141,0.069,1
2001,1,22,38.725,8.997,-1.0,0.458,-1.0,1
2001,1,24,38.725,8.997,0.02,0.131,0.07400000000000001,1
2001,1,25,38.725,8.997,-1.0,0.206,0.017,1
2001,1,27,38.725,8.997,-1.0,0.306,-1.0,1
2001,1,31,38.725,8.997,-1.0,0.14400000000000002,0.166,1
2001,2,1,38.725,8.997,-1.0,0.08900000000000001,0.026,1
2001,2,2,38.725,8.997,-1.0,0.018000000000000002,-1.0,1
2001,2,3,38.725,8.997,0.16,0.183,0.044,1
2001,2,4,38.725,8.997,-1.0,0.159,0.055,1
2001,2,5,38.725,8.997,0.06,0.138,0.101,1
2001,2,7,38.725,8.997,0.11,0.24,0.165,1
2001,2,14,38.725,8.997,0.08,0.081,0.057,1
2001,2,16,38.725,8.997,-1.0,0.128,0.106,1
2001,2,17,38.725,8.997,-1.0,0.124,0.016,1
2001,2,18,38.725,8.997,0.16,0.193,0.086,1
2001,2,21,38.725,8.997,-0.02,0.07400000000000001,0.042,1
2001,2,26,38.725,8.997,-1.0,0.128,0.041,1
2001,2,27,38.725,8.997,-1.0,0.142,0.1,1
2001,2,28,38.725,8.997,-1.0,0.104,0.062,1
2001,3,2,38.725,8.997,-1.0,0.121,0.114,1
2001,3,9,38.725,8.997,0.13,0.231,0.098,1
2001,3,13,38.725,8.997,-1.0,0.329,0.036000000000000004,1
2001,4,3,38.725,8.997,0.15,0.146,0.056,1
2001,4,13,38.725,8.997,-1.0,0.146,-1.0,1
2001,4,14,38.725,8.997,-1.0,0.106,0.016,1
2001,4,15,38.725,8.997,-1.0,0.062,0.033,1
2001,4,17,38.725,8.997,0.06,0.047,0.022,1
2001,4,18,38.725,8.997,-1.0,0.084,0.035,1
2001,4,19,38.725,8.997,0.09,0.116,0.042,1
2001,4,25,38.725,8.997,-1.0,0.102,0.021,1
2001,4,26,38.725,8.997,-1.0,0.212,0.018000000000000002,1
2001,5,3,38.725,8.997,-1.0,0.24,-1.0,1
2001,5,9,38.725,8.997,0.15,0.17800000000000002,0.029,1
2001,5,11,38.725,8.997,-1.0,0.151,-1.0,1
2001,5,14,38.725,8.997,-1.0,0.278,0.028,1
2001,5,20,38.725,8.997,-1.0,0.134,-1.0,1
2001,5,21,38.725,8.997,0.08,0.168,0.056,1
2001,5,27,38.725,8.997,-1.0,0.256,-1.0,1
2001,5,30,38.725,8.997,-1.0,0.348,0.002,1
2001,6,1,38.725,8.997,0.37,0.33,0.034,1
2001,6,3,38.725,8.997,-1.0,0.319,-1.0,1
2001,6,4,38.725,8.997,-1.0,0.317,0.005,1
2001,6,6,38.725,8.997,0.19,0.222,0.026,1
2001,6,11,38.725,8.997,-1.0,0.43,-1.0,1
2001,7,15,38.725,8.997,-1.0,0.584,0.083,1
2001,7,26,38.725,8.997,-1.0,0.374,0.061,1
2001,8,23,38.725,8.997,-1.0,0.326,-1.0,1
2001,8,25,38.725,8.997,-1.0,0.519,0.016,1
2001,9,6,38.725,8.997,-1.0,0.16699999999999998,-1.0,1
2001,9,15,38.725,8.997,-1.0,0.17,0.017,1
2001,9,19,38.725,8.997,-1.0,0.395,-1.0,1
2001,9,23,38.725,8.997,-1.0,0.371,-1.0,1
2001,9,26,38.725,8.997,-1.0,0.17,0.014,1
2001,9,28,38.725,8.997,-1.0,0.278,-1.0,1
2001,9,30,38.725,8.997,-1.0,0.355,-1.0,1
2001,10,3,38.725,8.997,0.01,0.112,0.048,1
2001,10,5,38.725,8.997,-1.0,0.413,-1.0,1
2001,10,9,38.725,8.997,-1.0,0.181,0.063,1
2001,10,14,38.725,8.997,0.17,0.128,0.04,1
2001,10,21,38.725,8.997,-1.0,0.331,-1.0,1
2001,10,23,38.725,8.997,-1.0,0.206,-1.0,1
2001,10,28,38.725,8.997,-0.03,0.113,0.073,1
2001,10,31,38.725,8.997,0.04,0.083,0.033,1
2001,11,3,38.725,8.997,-1.0,0.112,0.009000000000000001,1
2001,11,4,38.725,8.997,0.18,0.13,0.078,1
2001,11,6,38.725,8.997,0.0,0.127,0.079,1
2001,11,7,38.725,8.997,-1.0,0.129,-1.0,1
2001,11,8,38.725,8.997,-0.01,0.14400000000000002,0.055,1
2001,11,9,38.725,8.997,-1.0,0.153,0.025,1
2001,11,10,38.725,8.997,-1.0,0.249,0.042,1
2001,11,11,38.725,8.997,-1.0,0.07400000000000001,0.046,1
2001,11,12,38.725,8.997,-1.0,0.206,-1.0,1
2001,11,13,38.725,8.997,0.04,0.145,0.077,1
2001,11,15,38.725,8.997,0.24,0.234,0.08,1
2001,11,16,38.725,8.997,0.14,0.168,0.026,1
2001,11,17,38.725,8.997,-1.0,0.28,0.012,1
2001,11,18,38.725,8.997,-1.0,0.29600000000000004,0.04,1
2001,11,22,38.725,8.997,0.0,0.142,0.091,1
2001,11,23,38.725,8.997,-1.0,0.08900000000000001,0.063,1
2001,11,24,38.725,8.997,-1.0,0.18,0.093,1
2001,11,25,38.725,8.997,-1.0,0.113,0.064,1
2001,11,26,38.725,8.997,0.15,0.158,0.067,1
2001,11,27,38.725,8.997,-1.0,0.206,0.035,1
2001,11,28,38.725,8.997,-1.0,0.132,0.044,1
2001,11,29,38.725,8.997,0.07,0.152,0.069,1
2001,12,1,38.725,8.997,-1.0,0.278,0.025,1
2001,12,2,38.725,8.997,-1.0,0.08199999999999999,0.013,1
2001,12,3,38.725,8.997,0.03,0.142,0.09,1
2001,12,4,38.725,8.997,0.09,0.138,0.044,1
2001,12,5,38.725,8.997,-1.0,0.16399999999999998,0.05,1
2001,12,6,38.725,8.997,-1.0,0.084,0.004,1
2001,12,10,38.725,8.997,0.15,0.14400000000000002,0.115,1
2001,12,11,38.725,8.997,-1.0,0.109,0.03,1
2001,12,12,38.725,8.997,-1.0,0.095,-1.0,1
2001,12,15,38.725,8.997,0.08,0.076,0.067,1
2001,12,17,38.725,8.997,-1.0,0.052000000000000005,-1.0,1
2001,12,20,38.725,8.997,-1.0,0.102,0.034,1
2001,12,22,38.725,8.997,-1.0,0.131,0.093,1
2001,12,24,38.725,8.997,0.2,0.146,0.113,1
2001,12,25,38.725,8.997,-1.0,0.213,-1.0,1
2001,12,26,38.725,8.997,0.12,0.207,0.073,1
2001,12,28,38.725,8.997,-1.0,0.219,0.049,1
2001,12,29,38.725,8.997,-1.0,0.187,0.063,1
2001,12,30,38.725,8.997,-1.0,0.174,0.039,1
2001,12,31,38.725,8.997,-0.03,0.138,0.091,1
2002,1,18,38.725,8.997,0.19,0.14800000000000002,0.129,1
2002,1,21,38.725,8.997,0.06,0.052000000000000005,0.021,1
2002,1,25,38.725,8.997,-0.04,0.08,0.035,1
2002,1,26,38.725,8.997,-1.0,0.047,0.01,1
2002,1,28,38.725,8.997,-1.0,0.079,0.01,1
2002,1,29,38.725,8.997,-1.0,0.067,0.045,1
2002,1,30,38.725,8.997,0.01,0.055,0.048,1
2002,1,31,38.725,8.997,-1.0,0.14800000000000002,0.025,1
2002,2,1,38.725,8.997,-1.0,0.159,0.116,1
2002,2,3,38.725,8.997,0.0,0.084,0.07200000000000001,1
2002,2,4,38.725,8.997,-1.0,0.108,0.01,1
2002,2,5,38.725,8.997,0.15,0.161,0.036000000000000004,1
2002,2,6,38.725,8.997,-1.0,0.113,0.048,1
2002,2,7,38.725,8.997,-1.0,0.153,0.114,1
2002,2,8,38.725,8.997,0.0,0.13,0.08900000000000001,1
2002,2,10,38.725,8.997,0.1,0.085,0.08,1
2002,2,11,38.725,8.997,-1.0,0.211,-1.0,1
