YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2002,7,13,38.725,8.997,-1.0,0.23600000000000002,0.012,2
2002,7,15,38.725,8.997,-1.0,0.5710000000000001,-1.0,2
2002,7,20,38.725,8.997,-1.0,0.478,0.093,2
2002,8,9,38.725,8.997,-1.0,0.188,-1.0,2
2002,8,14,38.725,8.997,-1.0,0.314,0.015,2
2002,9,6,38.725,8.997,-1.0,0.219,-1.0,2
2002,9,9,38.725,8.997,-1.0,0.219,-1.0,2
2002,9,20,38.725,8.997,-1.0,0.255,-1.0,2
2002,9,26,38.725,8.997,-1.0,0.184,0.012,2
2002,10,1,38.725,8.997,-0.04,0.084,0.028,2
2002,10,3,38.725,8.997,-1.0,0.121,0.023,2
2002,10,8,38.725,8.997,0.0,0.132,0.023,2
2002,10,12,38.725,8.997,-1.0,0.16699999999999998,-1.0,2
2002,10,15,38.725,8.997,-1.0,0.205,0.004,2
2002,10,19,38.725,8.997,-1.0,0.16,0.013,2
2002,10,21,38.725,8.997,-1.0,0.155,-1.0,2
2002,10,26,38.725,8.997,0.1,0.069,0.048,2
2002,10,27,38.725,8.997,0.05,0.08900000000000001,0.052000000000000005,2
2002,10,31,38.725,8.997,0.03,0.185,0.092,2
2002,11,2,38.725,8.997,0.03,0.14,0.064,2
2002,11,3,38.725,8.997,-1.0,0.14400000000000002,0.014,2
2002,11,4,38.725,8.997,0.06,0.067,0.045,2
2002,11,7,38.725,8.997,-1.0,0.115,0.044,2
2002,11,8,38.725,8.997,0.04,0.07200000000000001,0.033,2
2002,11,9,38.725,8.997,0.05,0.097,0.07400000000000001,2
2002,11,11,38.725,8.997,0.02,0.087,0.075,2
2002,11,12,38.725,8.997,-1.0,0.255,0.033,2
2002,11,13,38.725,8.997,-1.0,0.165,0.028,2
2002,11,14,38.725,8.997,-1.0,0.209,0.053,2
2002,11,16,38.725,8.997,-1.0,0.224,0.146,2
2002,11,18,38.725,8.997,0.12,0.149,0.069,2
2002,11,19,38.725,8.997,-1.0,0.175,0.015,2
2002,11,20,38.725,8.997,0.08,0.107,0.06,2
2002,11,23,38.725,8.997,0.18,0.24,0.077,2
2002,11,24,38.725,8.997,-1.0,0.194,0.002,2
2002,11,25,38.725,8.997,0.23,0.293,0.057,2
2002,11,27,38.725,8.997,0.05,0.119,0.081,2
2002,11,29,38.725,8.997,0.13,0.198,0.064,2
2002,11,30,38.725,8.997,-1.0,0.265,0.073,2
2002,12,4,38.725,8.997,-0.01,0.096,0.08900000000000001,2
2002,12,6,38.725,8.997,-1.0,0.14300000000000002,0.022,2
2002,12,7,38.725,8.997,0.12,0.125,-1.0,2
2002,12,9,38.725,8.997,-1.0,0.12,-1.0,2
2002,12,13,38.725,8.997,-1.0,0.093,0.035,2
2002,12,25,38.725,8.997,0.3,0.258,0.08199999999999999,2
2003,1,5,38.725,8.997,-1.0,0.173,0.19,2
2003,1,7,38.725,8.997,0.13,0.095,0.05,2
2003,1,9,38.725,8.997,0.2,0.189,0.016,2
2003,1,10,38.725,8.997,-0.03,0.125,0.066,2
2003,1,11,38.725,8.997,-1.0,0.094,0.01,2
2003,1,12,38.725,8.997,0.04,0.084,0.085,2
2003,1,14,38.725,8.997,-0.02,0.096,0.07200000000000001,2
2003,1,15,38.725,8.997,-1.0,0.161,0.065,2
2003,1,16,38.725,8.997,-1.0,0.201,0.107,2
2003,1,23,38.725,8.997,-1.0,0.079,-1.0,2
2003,1,30,38.725,8.997,0.01,0.069,0.067,2
