YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3,Time
2000,2,24,-118.175,33.792,-1.0,0.21600000000000005,-1.0,1
2000,3,2,-118.175,33.792,-1.0,0.228,-1.0,1
2000,3,10,-118.175,33.792,0.05,0.113,0.08199999999999999,1
2000,3,11,-118.175,33.792,0.05,0.139,0.124,1
2000,3,14,-118.175,33.792,-1.0,0.454,0.204,1
2000,3,17,-118.175,33.792,0.34,0.355,0.021,1
2000,3,18,-118.175,33.792,-1.0,0.35,-1.0,1
2000,3,21,-118.175,33.792,-1.0,0.091,0.092,1
2000,3,22,-118.175,33.792,-1.0,0.2,-1.0,1
2000,3,23,-118.175,33.792,-1.0,0.262,0.117,1
2000,3,25,-118.175,33.792,-1.0,0.213,-1.0,1
2000,3,26,-118.175,33.792,0.21,0.225,0.015,1
2000,3,31,-118.175,33.792,0.19,0.2,0.009000000000000001,1
2000,4,1,-118.175,33.792,-1.0,0.239,0.213,1
2000,4,2,-118.175,33.792,-1.0,0.139,0.02,1
2000,4,3,-118.175,33.792,-1.0,0.161,0.133,1
2000,4,4,-118.175,33.792,-1.0,0.341,0.068,1
2000,4,5,-118.175,33.792,-1.0,0.332,-1.0,1
2000,4,8,-118.175,33.792,-1.0,0.262,0.25,1
2000,4,9,-118.175,33.792,-1.0,0.205,-1.0,1
2000,4,10,-118.175,33.792,-1.0,0.12,0.114,1
2000,4,11,-118.175,33.792,0.05,0.239,0.195,1
2000,4,19,-118.175,33.792,0.06,0.273,0.142,1
2000,4,20,-118.175,33.792,0.05,0.292,0.254,1
2000,4,24,-118.175,33.792,-1.0,0.245,0.28800000000000003,1
2000,4,29,-118.175,33.792,-1.0,0.162,0.18,1
2000,4,30,-118.175,33.792,0.38,0.398,0.012,1
2000,5,1,-118.175,33.792,-1.0,0.03,0.011,1
2000,5,2,-118.175,33.792,-1.0,0.313,-1.0,1
2000,5,3,-118.175,33.792,-1.0,0.264,0.304,1
2000,5,4,-118.175,33.792,-1.0,0.8109999999999999,-1.0,1
2000,5,11,-118.175,33.792,-1.0,0.404,-1.0,1
2000,5,12,-118.175,33.792,-1.0,0.111,0.14800000000000002,1
2000,5,13,-118.175,33.792,-1.0,0.174,0.127,1
2000,5,15,-118.175,33.792,-1.0,0.257,0.32,1
2000,5,17,-118.175,33.792,-1.0,0.923,-1.0,1
2000,5,18,-118.175,33.792,-1.0,0.134,-1.0,1
2000,5,20,-118.175,33.792,-1.0,0.624,-1.0,1
2000,5,21,-118.175,33.792,-1.0,0.741,0.256,1
2000,5,26,-118.175,33.792,-1.0,0.07400000000000001,-1.0,1
2000,5,27,-118.175,33.792,-1.0,0.131,0.132,1
2000,5,28,-118.175,33.792,-1.0,0.153,0.134,1
